Rank,Name,Ticker,MarketCap,Stablecoin
1,Bitcoin,BTCUSD,1633053647158.217,False
2,Ethereum,ETHUSD,321740206559.3161,False
3,Tether USDt,USDT,183347329552.2871,True
4,BNB,BNBUSD,101575503863.08092,False
5,XRP,XRPUSD,88540729169.66405,False
6,USDC,USDC,74216945616.9658,True
7,Solana,SOLUSD,64655122037.2828,False
8,TRON,TRXUSD,32673783335.90517,False
9,Zcash,ZECUSD,24474386620.27518,False
10,Hyperliquid,HYPEUSD,23396550102.409508,False
11,Dogecoin,DOGEUSD,13623105546.383562,False
12,Monero,XMRUSD,10223191124.19434,False
13,Chainlink,LINKUSD,9384095426.629782,False
14,Cardano,ADAUSD,8524522160.6898985,False
15,UNUS SED LEO,LEOUSD,8225789962.951246,False
16,Stellar,XLMUSD,6880930964.218159,False
17,NEAR Protocol,NEARUSD,5525363687.60839,False
18,Uniswap,UNIUSD,5457756793.080041,False
19,Bitcoin Cash,BCHUSD,5057386473.770323,False
20,Avalanche,AVAXUSD,4969885023.585067,False
21,Ethena USDe,USDe,4872183777.573945,True
22,Dai,DAIUSD,4606144961.475549,True
23,Litecoin,LTCUSD,4572375169.932545,False
24,World Liberty Financial USD,USD1,4333408093.777913,True
25,Canton,CCUSD,4283365810.9637523,False
26,Gram (prev. Toncoin),GRAMUSD,3887306382.0877256,False
27,Hedera,HBARUSD,3815412028.899449,False
28,Sui,SUIUSD,3700518552.678272,False
29,MemeCore,MUSD,3471735780.8349323,False
30,Global Dollar,USDG,3260341626.4246163,True
31,Shiba Inu,SHIBUSD,3250952827.824889,False
32,Bittensor,TAOUSD,3042737383.3194447,False
33,Cronos,CROUSD,2948073860.0528727,False
34,PayPal USD,PYUSD,2801951719.7342334,True
35,Tether Gold,XAUtUSD,2726147256.390955,False
36,OKB,OKBUSD,2477516959.505707,False
37,Ripple USD,RLUSD,2379221692.064125,True
38,Ethena,ENAUSD,2223741479.143285,False
39,Aave,AAVEUSD,2119583097.1984236,False
40,Ondo,ONDOUSD,2097795838.6193962,False
41,Mantle,MNTUSD,2007474493.7580502,False
42,Aster,ASTERUSD,1989353811.3354034,False
