Name,Ticker,Exchange,Sector,MarketCap
Nvidia,NVDA,,Information Technology,4022003040256.0
Microsoft,MSFT,,Information Technology,3740946137088.0
Apple Inc.,AAPL,,Information Technology,3153843453952.0
Amazon,AMZN,,Consumer Discretionary,2388902281216.0
Alphabet Inc. (Class C),GOOG,,Communication Services,2192672555008.0
Meta Platforms,META,,Communication Services,1804057051136.0
Broadcom,AVGO,,Information Technology,1290538188800.0
Berkshire Hathaway,BRK.B,,Financials,1026073165824.0
"Tesla, Inc.",TSLA,,Consumer Discretionary,1009803198464.0
JPMorgan Chase,JPM,,Financials,797209722880.0
Walmart,WMT,,Consumer Staples,753351655424.0
Lilly (Eli),LLY,,Health Care,711913635840.0
Visa Inc.,V,,Financials,679681261568.0
Oracle Corporation,ORCL,,Information Technology,647603814400.0
Netflix,NFLX,,Communication Services,529882710016.0
Mastercard,MA,,Financials,499608551424.0
ExxonMobil,XOM,,Energy,497461755904.0
Costco,COST,,Consumer Staples,430319042560.0
Johnson & Johnson,JNJ,,Health Care,377512361984.0
Procter & Gamble,PG,,Consumer Staples,368209985536.0
Home Depot (The),HD,,Consumer Discretionary,368193011712.0
Bank of America,BAC,,Financials,351964758016.0
AbbVie,ABBV,,Health Care,339943686144.0
Palantir Technologies,PLTR,,Information Technology,335343222784.0
Coca-Cola Company (The),KO,,Consumer Staples,300739330048.0
Philip Morris International,PM,,Consumer Staples,280033492992.0
UnitedHealth Group,UNH,,Health Care,275861274624.0
GE Aerospace,GE,,Industrials,272377331712.0
Cisco,CSCO,,Information Technology,269081985024.0
Chevron Corporation,CVX,,Energy,269032636416.0
Wells Fargo,WFC,,Financials,268632571904.0
IBM,IBM,,Information Technology,263567687680.0
T-Mobile US,TMUS,,Communication Services,258610085888.0
Salesforce,CRM,,Information Technology,246714925056.0
Advanced Micro Devices,AMD,,Information Technology,237405388800.0
Abbott Laboratories,ABT,,Health Care,229693685760.0
Morgan Stanley,MS,,Financials,228262641664.0
American Express,AXP,,Financials,223817170944.0
Linde plc,LIN,,Materials,220680110080.0
